iteration,food_quantity,event_poll_ms,ants_advance_ms,mpi_pheromone_sync_ms,evaporation_ms,mpi_evaporation_sync_ms,update_ms,advance_total_ms,mpi_food_sync_ms,mpi_gather_ms,render_ms,blit_ms,iteration_total_ms
87,0,0.000000,37.181000,3.616000,0.000000,1.007000,0.000000,41.804000,0.000000,2.028000,0.000000,0.000000,43.832000
88,0,0.000000,26.322000,3.188000,0.000000,0.000000,0.000000,29.510000,0.000000,0.000000,0.000000,0.000000,29.510000
89,0,0.000000,26.889000,2.021000,0.000000,3.264000,0.000000,32.174000,0.000000,1.088000,0.000000,0.000000,33.262000
90,0,0.000000,25.292000,1.017000,0.000000,2.932000,0.000000,29.241000,0.000000,0.000000,0.000000,0.000000,29.241000
91,0,0.000000,26.722000,2.025000,1.511000,0.526000,0.000000,30.784000,0.000000,2.603000,0.000000,0.000000,33.387000
92,0,0.000000,24.467000,2.017000,0.000000,3.014000,0.000000,29.498000,0.000000,1.016000,0.000000,0.000000,30.514000
93,0,0.000000,22.887000,0.000000,0.000000,6.446000,1.081000,30.414000,0.000000,1.020000,0.000000,0.000000,31.434000
94,0,0.000000,24.943000,3.503000,0.000000,1.536000,0.772000,30.754000,0.000000,0.000000,0.000000,0.000000,30.754000
95,0,0.000000,27.457000,2.038000,0.000000,2.024000,0.000000,31.519000,0.000000,1.074000,0.000000,0.000000,32.593000
96,0,0.000000,26.734000,1.517000,3.124000,0.000000,0.000000,31.375000,0.000000,2.007000,0.000000,0.000000,33.382000
97,0,0.000000,27.210000,2.574000,0.000000,1.018000,1.057000,31.859000,0.000000,0.000000,0.000000,0.000000,31.859000
98,0,0.000000,26.854000,4.056000,0.000000,1.520000,0.000000,32.430000,0.000000,2.016000,0.000000,0.000000,34.446000
99,0,0.000000,28.762000,1.677000,0.000000,1.614000,0.557000,32.610000,0.000000,1.014000,0.000000,0.000000,33.624000
100,0,0.000000,66.267000,1.999000,0.000000,5.381000,0.000000,73.647000,0.000000,2.523000,0.000000,0.000000,76.170000
101,0,0.000000,44.951000,7.031000,0.000000,4.164000,0.710000,56.856000,0.591000,0.621000,0.000000,0.000000,58.068000
102,0,0.000000,22.926000,2.293000,0.000000,1.553000,0.000000,26.772000,0.000000,0.000000,0.000000,0.000000,26.772000
103,0,0.000000,19.692000,0.000000,0.000000,0.000000,0.000000,19.692000,0.000000,0.000000,0.000000,0.000000,19.692000
104,0,0.000000,21.470000,2.589000,0.000000,1.011000,0.823000,25.893000,0.000000,0.755000,0.000000,0.000000,26.648000
105,0,0.000000,19.373000,1.559000,0.000000,1.032000,0.000000,21.964000,0.000000,0.000000,0.000000,0.000000,21.964000
106,0,0.000000,19.735000,0.000000,2.028000,1.047000,0.000000,22.810000,0.000000,0.000000,0.000000,0.000000,22.810000
107,0,0.000000,23.759000,1.014000,0.000000,1.507000,1.010000,27.290000,0.000000,1.102000,0.000000,0.000000,28.392000
108,0,0.000000,24.344000,0.000000,0.000000,3.787000,0.524000,28.655000,0.000000,0.000000,0.000000,0.000000,28.655000
109,0,0.000000,26.836000,1.620000,0.000000,1.524000,1.520000,31.500000,0.000000,0.655000,0.000000,0.000000,32.155000
110,0,0.000000,31.491000,5.346000,0.000000,1.201000,1.019000,39.057000,0.000000,0.815000,0.000000,0.000000,39.872000
111,0,0.000000,26.818000,2.048000,0.997000,0.514000,0.000000,30.377000,0.000000,2.104000,0.000000,0.000000,32.481000
112,0,0.000000,28.495000,3.264000,0.000000,3.041000,0.545000,35.345000,0.000000,0.000000,0.000000,0.000000,35.345000
113,0,0.000000,26.819000,3.556000,0.000000,2.182000,0.000000,32.557000,0.000000,0.000000,0.000000,0.000000,32.557000
114,0,0.000000,26.439000,2.045000,0.000000,1.505000,0.000000,29.989000,0.000000,0.000000,0.000000,0.000000,29.989000
115,0,0.000000,23.686000,5.672000,0.642000,1.398000,0.578000,31.976000,0.000000,1.282000,0.000000,0.000000,33.258000
116,0,0.000000,25.488000,1.843000,0.000000,1.617000,0.533000,29.481000,0.000000,1.150000,0.000000,0.000000,30.631000
117,0,0.000000,24.717000,1.632000,0.609000,1.188000,0.000000,28.146000,0.000000,1.512000,0.000000,0.000000,29.658000
118,0,0.000000,23.627000,7.290000,0.000000,1.264000,0.000000,32.181000,0.000000,2.124000,0.000000,0.000000,34.305000
119,0,0.000000,23.925000,3.977000,0.000000,2.037000,0.508000,30.447000,0.000000,1.082000,0.000000,0.000000,31.529000
120,0,0.000000,25.255000,2.551000,0.000000,2.063000,1.021000,30.890000,0.000000,0.997000,0.000000,0.000000,31.887000
121,0,0.000000,25.877000,0.653000,0.000000,0.000000,0.000000,26.530000,0.000000,4.033000,0.000000,0.000000,30.563000
122,0,0.000000,25.793000,1.549000,0.000000,0.000000,0.000000,27.342000,0.000000,0.000000,0.000000,0.000000,27.342000
123,0,0.000000,27.904000,1.533000,0.000000,0.000000,0.000000,29.437000,0.000000,0.000000,0.000000,0.000000,29.437000
124,0,0.000000,20.599000,6.248000,0.000000,2.582000,0.000000,29.429000,0.000000,0.000000,0.000000,0.000000,29.429000
125,0,0.000000,23.356000,0.000000,0.000000,3.310000,0.000000,26.666000,0.000000,1.025000,0.000000,0.000000,27.691000
126,0,0.000000,23.858000,1.355000,0.000000,1.081000,0.000000,26.294000,0.000000,0.000000,0.000000,0.000000,26.294000
127,0,0.000000,25.174000,1.025000,0.000000,3.184000,0.000000,29.383000,0.000000,1.005000,0.000000,0.000000,30.388000
128,0,0.000000,24.375000,0.000000,0.000000,0.000000,0.000000,24.375000,0.000000,0.000000,0.000000,0.000000,24.375000
129,0,0.000000,29.100000,2.094000,0.000000,1.547000,0.000000,32.741000,0.000000,0.000000,0.000000,0.000000,32.741000
130,0,0.000000,25.034000,1.082000,0.000000,2.621000,0.671000,29.408000,0.000000,0.526000,0.000000,0.000000,29.934000
131,0,0.000000,19.819000,5.601000,0.000000,1.492000,1.185000,28.097000,0.000000,0.706000,0.000000,0.000000,28.803000
132,0,0.000000,21.872000,4.398000,0.000000,0.523000,0.000000,26.793000,0.000000,1.528000,0.000000,0.000000,28.321000
133,0,0.000000,23.604000,0.523000,1.022000,0.000000,0.000000,25.149000,0.000000,2.522000,0.000000,0.000000,27.671000
134,0,0.000000,20.975000,1.535000,0.000000,2.104000,0.950000,25.564000,0.000000,0.000000,0.000000,0.000000,25.564000
135,0,0.000000,23.201000,1.023000,0.000000,1.528000,0.619000,26.371000,0.000000,0.000000,0.000000,0.000000,26.371000
136,0,0.000000,20.803000,4.534000,0.000000,1.534000,0.000000,26.871000,0.000000,1.044000,0.000000,0.000000,27.915000
137,0,0.000000,21.519000,0.000000,0.000000,4.623000,0.000000,26.142000,0.000000,0.000000,0.000000,0.000000,26.142000
138,0,0.000000,23.489000,1.757000,0.000000,0.575000,0.000000,25.821000,0.000000,0.000000,0.000000,0.000000,25.821000
139,0,0.000000,25.605000,0.000000,2.035000,1.032000,0.000000,28.672000,0.000000,0.000000,0.000000,0.000000,28.672000
140,0,0.000000,21.147000,0.000000,0.000000,5.272000,0.000000,26.419000,0.000000,1.338000,0.000000,0.000000,27.757000
141,0,0.000000,25.481000,1.523000,0.000000,1.835000,0.513000,29.352000,0.000000,0.000000,0.000000,0.000000,29.352000
142,0,0.000000,26.100000,0.549000,0.000000,2.576000,1.025000,30.250000,0.000000,0.657000,0.000000,0.000000,30.907000
143,0,0.000000,22.039000,6.503000,0.000000,1.850000,0.000000,30.392000,0.000000,0.000000,0.000000,0.000000,30.392000
144,0,0.000000,25.226000,2.151000,0.606000,1.441000,0.669000,30.093000,0.000000,1.052000,0.000000,0.000000,31.145000
145,0,0.000000,23.430000,0.000000,0.000000,3.568000,0.572000,27.570000,0.000000,0.660000,0.000000,0.000000,28.230000
146,0,0.000000,24.153000,0.987000,0.000000,1.996000,0.000000,27.136000,0.000000,1.348000,0.000000,0.000000,28.484000
147,0,0.000000,25.085000,1.036000,0.000000,2.532000,1.040000,29.693000,0.000000,1.537000,0.000000,0.000000,31.230000
148,0,0.000000,27.879000,1.841000,0.000000,0.636000,0.000000,30.356000,1.547000,0.338000,0.000000,0.000000,32.241000
149,0,0.000000,28.555000,1.066000,0.000000,0.000000,0.000000,29.621000,0.000000,0.000000,0.000000,0.000000,29.621000
150,0,0.000000,31.972000,2.099000,0.000000,1.524000,0.000000,35.595000,0.000000,1.542000,0.000000,0.000000,37.137000
151,0,0.000000,27.787000,1.664000,0.000000,1.980000,0.000000,31.431000,0.000000,1.539000,0.000000,0.000000,32.970000
152,0,0.000000,25.992000,2.301000,0.000000,1.670000,0.764000,30.727000,0.000000,0.000000,0.000000,0.000000,30.727000
153,0,0.000000,25.197000,1.935000,1.003000,2.102000,1.077000,31.314000,0.000000,0.000000,0.000000,0.000000,31.314000
154,0,0.000000,24.801000,1.043000,0.000000,2.461000,0.645000,28.950000,0.000000,1.023000,0.000000,0.000000,29.973000
155,0,0.000000,24.644000,0.597000,0.000000,0.000000,0.000000,25.241000,0.000000,4.057000,0.000000,0.000000,29.298000
156,0,0.000000,23.608000,2.045000,0.000000,0.000000,2.043000,27.696000,0.000000,0.000000,0.000000,0.000000,27.696000
157,0,0.000000,22.866000,1.675000,0.000000,1.663000,0.000000,26.204000,0.000000,1.652000,0.000000,0.000000,27.856000
158,0,0.000000,22.970000,0.000000,0.000000,0.000000,0.000000,22.970000,0.000000,4.716000,0.000000,0.000000,27.686000
